date,positive,negative,neutral
2020-02-29 14:01:53.765458,0,0,1
2020-02-29 14:02:03.890073,0.3076923076923077,0.11538461538461539,0.5769230769230769
2020-02-29 14:02:19.193378,0.2,0.24,0.56
