author,date,text
zfazeel,2020-02-29 05:09:53,"b'RT @arjunsethi81: If you haven\xe2\x80\x99t been following the latest out of India, this video tells you everything you need to know. \n\nA pogrom again\xe2\x80\xa6'"
MdRahmo65047719,2020-02-29 05:09:52,b'Jaflong near the india open mind time it. https://t.co/zfobNdmAfI'
mrdogra007,2020-02-29 05:09:53,"b""RT @ZeeNews: NIA arrests Pakistan-based JeM terror group's operative involved in Pulwama terror attack https://t.co/VOsyr0xRuX"""
Vidit43158450,2020-02-29 05:09:53,"b""@harleydavidson Understand India first. We value money,We can't afford anything above 10000$ on bikes, instead we w\xe2\x80\xa6 https://t.co/56aUicJaFS"""
GhengisKhan88,2020-02-29 05:09:53,b'RT @jihadwatchRS: India: Leftist news outlet NDTV edits out images of mosque with stockpile of stones from video on riots https://t.co/pQUJ\xe2\x80\xa6'
BhavyaMankad,2020-02-29 05:09:53,"b'@omarali50 One of our former European masters believes that ""Objectively speaking"" Hindutva &amp; Dr. Ambedkar has no m\xe2\x80\xa6 https://t.co/PW1QjccSjL'"
rohitpaswan22,2020-02-29 05:09:53,"b'RT @amitmalviya: In April 2019, an ISIS suspect identified as Mohd Faiz, was arrested from Jafrabad in Delhi. Again in Jan 2020, the Specia\xe2\x80\xa6'"
sorrlly,2020-02-29 05:09:53,b'RT @CMShehbaz: Brutal represession of Muslims continues unabated in India. The killing of over three dozens Indian Muslims at the hands of\xe2\x80\xa6'
kushaldas,2020-02-29 05:09:54,b'RT @masudwalid: Bangladeshis are protesting against Indian government backed  Muslim Genocide in Delhi. We common Bangladeshis are always w\xe2\x80\xa6'
hemu_udr,2020-02-29 05:09:54,b'RT @bhartijainTOI: Pulwama attack breakthrough: NIA arrests Jaish man who drove suicide bomber in explosives-laden car to a spot 500 m shor\xe2\x80\xa6'
SRKzCharlie,2020-02-29 05:09:54,"b""RT @IndiaToday: AAP's Nehru Vihar Corporator Mohammad Tahir Hussain was inside his residence along with his family when the incident occurr\xe2\x80\xa6"""
ShivajiSSRG,2020-02-29 05:09:54,"b'RT @imMAK02: Hungry for 3 days, Ayub Ansari, a 60-year-old scrap-picker and resident of Shiv Vihar, went out to work on Friday morning;Hind\xe2\x80\xa6'"
Sainath90520867,2020-02-29 05:09:54,b'RT @UrstrulyHNE: #SarileruNeekevvaru and #50DaysOfBBSLN are Trending in India \xf0\x9f\x94\xa5\n\nKeep Tweeting Guys \xf0\x9f\x98\x8e\n\n7 PM nunchi Main Trend \xf0\x9f\x92\xa5\xf0\x9f\xa4\x99\n\n#MASSMB #\xe2\x80\xa6'
AC86125155,2020-02-29 05:09:54,b'RT @NagpurKaRajini: Hello @PuneCityPolice request him just show him what is ISIS .'
Mahithaspeaks,2020-02-29 05:09:54,"b'RT @ashoswai: Under Manmohan Singh, India was a major player in Afghanistan, under Modi, it has reduced to be an \xe2\x80\x98observer\xe2\x80\x99. But, Indian me\xe2\x80\xa6'"
New_India22,2020-02-29 05:09:54,"b""RT @TimesNow: 'If Rajiv Gandhi was alive, he would have been hanged', @BJP4India's @TajinderBagga on 1984 riots.\n\nhttps://t.co/JzbBVAX6go"""
SumitSa49362148,2020-02-29 05:09:54,"b'RT @dpradhanbjp: Hon. PM Shri @narendramodi ji has set a target to make India, a US$5 trillion economy by 2024.\n\nBoth the Indian energy and\xe2\x80\xa6'"
hari_krishna19,2020-02-29 05:09:54,b'One thing is certain in this series..\nIndia do not want to play 2nd new ball.\n#NZvsIND'
Monu9135Kumar,2020-02-29 05:09:54,b'RT @DVATW: Should India now move to ban the pernicious anti Hindu and anti Modi #BBChindi? RT if you agree.'
VinoMariyan,2020-02-29 05:09:54,"b'RT @cricketwallah: Even allowing for grassy pitch, very disappointing batting by India. Third best partnership in innings was paltry 26 run\xe2\x80\xa6'"
SaroshMakhdum,2020-02-29 05:09:54,"b'RT @ashoswai: In New India, a Muslim must surrender himself to die when a Hindutva mob comes attacking. If he resists and tries to survive,\xe2\x80\xa6'"
Neerajs41363969,2020-02-29 05:09:54,b'@affle @NeerajCNBC\n@AnilSinghvi_(India) acquires a mobile advertising technology company for Euro 5.12 million https://t.co/6x57jmPVea'
girlyratfish,2020-02-29 05:09:55,"b""RT @drskyskull: What's truly terrifying is that I didn't notice any difference. https://t.co/bIcBNQggrf"""
antonhas1,2020-02-29 05:09:55,b'RT @MaxBoot: .\xe2\x81\xa6@RanaAyyub\xe2\x81\xa9: \xe2\x80\x9cThis did not take place overnight. It was a result of a sustained campaign of hate against Muslims in the six\xe2\x80\xa6'
tghakim_,2020-02-29 05:09:55,"b'RT @holyqis8n: now tell me who is the real terrorist then.....fuck let people serve their god in peace, get the fuck off. i wish i could he\xe2\x80\xa6'"
Chandrapida1,2020-02-29 05:09:55,b'RT @lobonkha: A branch of my family shifted to India in the 64 Riots\n\nDo u know the reason for the 64 riots?\n\nA speck of (pubic?) hair of P\xe2\x80\xa6'
SUPRATI04307124,2020-02-29 05:09:55,"b""How to take General Caste's Spouse on BED? For General caste HOPE NO MORE IN INDIA, BE BOLD &amp; FACE IT -&gt;\nA common p\xe2\x80\xa6 https://t.co/5eSF3O9h37"""
hatefreebharat,2020-02-29 05:09:55,"b'RT @KhaledBeydoun: If Muslims were attacking Hindus in #India, instead of Hindutva terrorists slaughtering Muslims - the last several days\xe2\x80\x99\xe2\x80\xa6'"
